site,location,ab,elevation,year,age,ageclassn,ageclass,annual,perennial,total,native,nonnative,wetland,conserve,nrich,nnrich,trich,forb,grass,shrub,vine,tree,crust
ICAL1,IC,above,3730,2022,50,50,> 50,0.000,89.395,89.395,89.395,0.000,3.375,3.625,8,4,12,12.279,10.522,60.503,6.091,0.000,2.031
ICAL2,IC,above,3720,2022,50,50,> 50,5.951,88.543,94.494,88.543,5.951,3.154,3.657,11,2,13,0.000,8.332,51.385,0.000,34.777,0.000
ICBL1,IC,below,3665,2022,21,25,21 to 25,17.215,48.285,65.499,25.408,40.091,3,2.233,11,6,17,6.733,17.091,40.324,0.000,0.000,7.188
ICBL2,IC,below,3645,2022,11,12,11 to 12,16.768,62.124,78.892,53.956,24.936,2.6,2.74,8,6,14,19.625,21.062,31.487,1.048,5.669,0.000
ICBL3,IC,below,3550,2022,1,1,1,20.462,30.242,50.704,8.618,42.087,2.865,1.865,7,6,13,18.980,26.575,5.149,0.000,0.000,0.000
KAL1,K,below,3705,2023,40,40,40,12.289,43.536,58.516,44.661,13.855,2.984,2.86,12,2,14,21.249,13.855,13.113,0.000,10.299,0.000
KAL2,K,below,3695,2023,25,25,21 to 25,4.705,77.374,82.079,71.472,10.607,2.473,2.37,8,2,10,1.554,9.027,59.950,0.000,11.549,0.000
KBL1,K,below,3665,2023,22,25,21 to 25,10.816,18.318,30.342,23.059,7.282,3.78,2.333,15,2,17,4.214,13.488,12.639,0.000,0.000,31.094
KBL2,K,below,3620,2023,4,4,3 to 4,11.972,29.307,42.571,24.151,18.420,3.25,2.636,11,2,13,1.894,17.242,23.435,0.000,0.000,15.625
KBL3,K,below,3550,2023,2,2,2,5.244,42.859,48.102,22.528,25.575,2.463,2.439,13,2,15,4.712,10.403,23.547,0.000,9.441,0.000
LCAL1,LC,above,3730,2022,50,50,> 50,11.818,45.974,57.791,33.263,24.528,3.673,2.136,12,9,21,4.595,11.629,22.493,6.424,12.650,0.000
LCAL2,LC,above,3715,2022,50,50,> 50,8.761,37.231,45.992,42.747,3.245,2.84,3.44,17,2,19,0.960,11.529,13.548,0.000,19.955,17.344
LCBL1,LC,below,3670,2022,22,25,21 to 25,11.391,29.918,42.471,29.186,13.285,3.594,2.25,9,4,13,1.896,11.547,27.359,0.000,1.669,0.156
LCBL2,LC,below,3600,2022,2,2,2,4.708,17.753,22.461,20.051,2.410,3.023,3.214,13,10,23,5.661,7.817,8.822,0.000,0.160,0.000
LCBL3,LC,below,3575,2022,1,1,1,7.173,25.152,32.325,21.250,11.076,3.061,2.697,13,8,21,20.633,8.017,3.676,0.000,0.000,0.000
MCAL1,MC,above,3790,2022,50,50,> 50,0.214,44.304,44.518,19.388,25.130,3,2.438,6,3,9,3.125,1.529,34.233,0.000,5.631,0.000
MCAL2,MC,above,3750,2022,50,50,> 50,5.548,22.663,28.211,23.634,4.577,3.333,2.706,13,5,18,4.748,4.354,14.835,0.000,4.274,0.000
MCBL1,MC,below,3640,2022,11,12,11 to 12,0.458,34.630,35.088,21.898,13.189,2.759,2.333,7,5,12,1.063,2.417,30.609,0.000,0.998,0.156
MCBL2,MC,below,3600,2022,2,2,2,1.399,34.223,35.621,26.342,9.279,2.7,3,13,5,18,0.367,6.431,28.823,0.000,0.000,9.844
MCBL3,MC,below,3540,2022,1,1,1,13.829,13.321,27.150,10.142,17.008,2.279,2.86,7,6,13,16.720,7.337,3.093,0.000,0.000,0.000
RBL2,R,below,3640,2022,11,12,11 to 12,0.954,48.501,49.456,21.837,27.619,3.522,1.957,15,7,22,0.000,0.954,48.501,0.000,0.000,10.469
RBL3,R,below,3605,2022,2,2,2,3.044,27.875,30.918,18.809,12.110,2.588,2.647,9,5,14,5.212,14.881,10.825,0.000,0.000,0.000
RFCAL1,RFC,above,3715,2022,50,50,> 50,18.935,67.379,86.314,67.379,18.935,3.467,3.154,9,8,17,41.941,18.935,17.105,0.000,8.333,21.875
RFCAL2,RFC,above,3710,2022,50,50,> 50,12.410,36.115,48.525,34.329,14.196,3.55,2.6,12,7,19,20.607,14.835,8.083,0.000,5.000,10.469
RFCBL1,RFC,below,3655,2022,11,12,11 to 12,5.600,47.952,53.552,35.221,18.331,2.738,2.512,15,1,16,5.673,11.116,36.763,0.000,0.000,0.938
RFCBL2,RFC,below,3615,2022,3,4,3 to 4,6.508,50.810,57.318,54.810,2.508,2.894,4.043,3,3,6,15.608,8.022,31.423,0.000,2.266,0.000
RFCBL3,RFC,below,3565,2022,1,1,1,43.272,37.131,80.403,30.337,50.066,2.227,2.136,7,3,10,10.460,39.636,17.466,0.000,12.841,0.000
SBL1,S,below,3685,2023,24,25,21 to 25,1.262,59.079,60.341,57.916,2.424,2.714,2.643,13,4,17,2.703,2.782,54.856,0.000,0.000,0.000
SBL2,S,below,3625,2023,6,6,6,3.212,15.032,20.215,19.355,0.860,3.438,3.742,7,2,9,5.679,4.871,9.491,0.000,0.000,12.969
SBL3,S,below,3560,2023,2,2,2,6.404,53.505,59.909,54.259,5.650,2.569,2.745,11,2,13,1.975,8.794,8.389,0.000,40.752,0.000
TAL1,T,above,3725,2023,50,50,> 50,11.433,37.192,48.626,36.390,12.236,2.974,2.588,11,2,13,0.556,25.470,8.147,9.770,4.545,0.000
TAL2,T,below,3700,2023,40,40,> 50,10.589,32.365,43.113,26.286,16.827,3.2,1.862,13,2,15,0.975,12.376,16.285,0.000,13.477,3.281
TBL1,T,below,3670,2023,22,25,21 to 25,2.316,68.317,70.633,67.458,3.175,2.571,3.19,10,2,12,0.628,5.157,64.848,0.000,0.000,0.000
TBL2,T,below,3630,2023,6,6,6,12.890,26.689,39.580,27.597,11.983,3.571,2.436,10,4,14,1.990,12.272,25.318,0.000,0.000,10.000
TBL3,T,below,3560,2023,2,2,2,13.942,18.753,32.851,23.384,9.467,3.64,2.25,11,4,15,4.268,16.437,12.146,0.000,0.000,0.000
WAL1,W,above,3830,2023,50,50,> 50,2.960,52.710,55.848,52.617,3.231,2.943,3.585,21,3,24,6.943,21.199,19.424,0.000,2.003,0.156
WAL2,W,below,3700,2023,40,40,> 50,0.752,70.050,70.802,70.344,0.458,2.268,4.148,20,1,21,10.123,8.638,38.991,0.000,13.050,0.000
WBL1,W,below,3670,2023,22,25,21 to 25,1.348,76.046,77.394,62.713,14.680,2.464,3.286,13,3,16,4.164,1.950,40.098,1.771,29.410,0.000
WBL2,W,below,3625,2023,6,6,6,9.912,52.714,62.626,48.324,14.303,3.068,3.727,12,4,16,0.287,15.356,29.388,0.000,17.595,2.344
WBL3,W,below,3595,2023,3,4,3 to 4,10.555,26.891,37.446,23.298,14.147,3.544,2.382,20,5,25,12.388,5.065,17.437,0.000,2.556,0.000
