ageclassn,n,W,p_shapiro
1,7,0.4529709881264229,4.1356120884447944e-06
2,11,0.4731511077764986,7.216200519470827e-07
3,6,0.902805358697182,0.39077771854488275
6,7,0.7362517875889958,0.009095271088759991
11,5,0.7732637925150148,0.04819127145133311
21,14,0.5741952997110198,2.4103559132384113e-05
40,2,,
50,25,0.9110900103570254,0.0322377842471194
