ageclassn,n,W,p_shapiro
1,7,1.0,1.0
2,11,0.34499120525171123,2.2434019096637374e-08
3,5,0.552181683501241,0.00013097817774592973
6,7,0.8811683514226196,0.23168493892711695
11,6,0.705980253401012,0.007142608381795614
21,14,0.6474265958832363,0.00011098078527330797
39,5,0.7275699841460899,0.01820349967141288
50,22,0.6501282762958528,4.837168375671423e-06
