ageclassn,n,W,p_shapiro
1,7,0.8626149563436729,0.15975442801639034
2,11,0.9281403588773236,0.392348573369289
3,6,0.9398428220350739,0.6579325835464369
6,7,0.9324630769523397,0.5720374636163899
11,5,0.7089604449181237,0.011855529517265396
21,14,0.9516691560506939,0.5869091090683546
40,2,,
50,25,0.9133334228439034,0.03619687293764487
