ageclassn,wetland_mean,conserve_mean
1,2.565125,1.319875
2,2.838,2.5166
4,3.067,2.9964
6,2.7067142857142854,3.5077142857142856
12,2.752166666666666,2.0801666666666665
25,2.7926428571428574,2.7331428571428567
40,2.8294,3.2096000000000005
50,3.097272727272727,2.906181818181818
