ageclassn,native,nonnative,perennial,annual,woody,herbaceous
1,12.20825,33.288250000000005,23.71575,21.780375,6.903625,38.59275
2,25.3432,14.2768,29.412200000000002,10.0023,18.046699999999998,21.5734
4,37.0024,15.531200000000002,45.0458,11.1804,27.639,25.8664
6,38.233428571428576,15.211142857142859,41.391714285714286,11.615571428571428,34.022285714285715,19.397428571428573
12,40.76866666666667,20.534666666666666,54.05466666666666,7.084166666666667,45.34733333333333,15.956000000000001
25,47.208214285714284,14.151357142857142,51.94707142857143,9.1295,44.59135714285714,16.768714285714285
40,51.87239999999999,8.5982,52.853199999999994,7.0474000000000006,40.0926,20.378
50,47.79209090909091,14.55840909090909,50.690636363636365,11.574409090909091,34.98418181818182,27.346636363636364
