ageclassn,n,W,p_shapiro
1,8,0.7983605717638218,0.02749120303018836
2,10,0.8100685350724014,0.019211634526319337
4,5,0.9427295841220419,0.685295513179879
6,7,0.8959121117913014,0.3069426427841041
12,6,0.9566856934922516,0.7938682484891294
25,14,0.717888454126326,0.000569612527825955
40,5,0.83274446597447,0.14584370155232657
50,22,0.9144640342319177,0.05843511483178276
