ageclassn,n,W,p_shapiro
1,7,0.9646434517923208,0.8574412282725717
2,11,0.9252953834001384,0.36523744839790695
3,6,0.8181874510505877,0.08511642687849644
6,7,0.8999652541187051,0.33077086858012306
11,5,0.9597061177158691,0.8059352793606375
21,14,0.9288618313303174,0.29411087240979417
40,2,,
50,25,0.9298226671594151,0.08609337249925782
