ageclassn,n,W,p_shapiro
1,7,0.7925031731335314,0.034506056305052726
2,11,0.9145521661056872,0.2758407792455567
3,6,0.965444623253293,0.8605551722683102
6,7,0.814212593458936,0.05645545419475152
11,5,0.8555277556516452,0.21263186635660447
21,14,0.866653576610365,0.03766809290745236
40,2,,
50,25,0.9233885729827737,0.06122954044630461
