ageclassn,n,W,p_shapiro
1,8,0.967294544187178,0.8759734747286381
2,10,0.9891768092520323,0.9957119087577697
4,5,0.9091547219316974,0.46252745963168024
6,7,0.9018545404613942,0.34235960087742456
12,6,0.9844190312234874,0.9712983215253206
25,14,0.956036087191721,0.6576435242739916
40,5,0.8489858455986559,0.1913341402565445
50,22,0.9736121502086206,0.7929207920056138
