ageclassn,n,W,p_shapiro
1,8,0.9619142998776905,0.8281266894414718
2,10,0.8939808867373692,0.18793009969882624
4,5,0.9953410617218005,0.9946515573755514
6,7,0.8223922253669508,0.06770826110319972
12,6,0.9936634912015128,0.9962020587391496
25,14,0.970561533445629,0.8840791161935742
40,5,0.9465697221177564,0.7126745059571783
50,22,0.9698778995128838,0.7082296593131633
