ageclassn,n,W,p_shapiro
1,8,0.8858208099336777,0.2138707329151412
2,10,0.8781582245634425,0.12428144650192213
4,5,0.9825483352286604,0.9477772358687456
6,7,0.8180887757529729,0.061550147978133345
12,6,0.6894791801667194,0.0047798044122224536
25,14,0.9722983924112999,0.9058037107258186
40,5,0.9680315305431275,0.8624756593763243
50,22,0.9582858410872411,0.45542685749452044
