ageclassn,n,W,p_shapiro
1,7,0.810291284568851,0.051705560686659664
2,11,0.8895748556525965,0.13737774547205173
3,6,0.9867380291603504,0.9797403757265628
6,7,0.8956145168608721,0.30524813737660944
11,5,0.9395316180516895,0.6626286232708086
21,14,0.9275803550361366,0.28211721289249575
40,2,,
50,25,0.912613169781434,0.03487330890430892
